date,CSI1000,CSI500,CYB,HS300,SH50
2014-01-28,4667.734,3873.81,1471.34,2219.855,1487.803
2014-01-29,4730.86,3908.45,1496.527,2227.781,1494.49
2014-01-30,4714.679,3885.416,1495.978,2202.45,1477.345
2014-02-07,4818.246,3957.671,1532.687,2212.483,1475.343
2014-02-10,4943.378,4074.63,1553.415,2267.534,1505.834
2014-02-11,4941.808,4080.378,1527.151,2285.562,1528.322
2014-02-12,5005.026,4125.412,1539.966,2291.246,1527.001
2014-02-13,4901.679,4064.423,1485.131,2279.554,1528.015
2014-02-14,5000.59,4134.16,1515.784,2295.575,1534.239
2014-02-17,5117.394,4212.745,1558.616,2311.647,1538.105
2014-02-18,5120.243,4207.699,1545.341,2282.442,1508.541
2014-02-19,5120.136,4207.994,1544.402,2308.656,1533.396
2014-02-20,5035.168,4149.071,1515.164,2287.436,1520.138
2014-02-21,5030.78,4121.917,1519.665,2264.294,1505.331
2014-02-24,5064.488,4105.792,1540.026,2214.509,1468.06
2014-02-25,4849.372,3961.439,1472.691,2157.909,1440.892
2014-02-26,4881.727,3987.48,1465.985,2163.405,1444.198
2014-02-27,4795.551,3934.727,1414.657,2154.108,1452.461
2014-02-28,4842.524,3975.929,1434.894,2178.971,1464.321
2014-03-03,4954.174,4058.799,1465.139,2190.37,1462.686
2014-03-04,4961.944,4059.567,1460.452,2184.273,1464.284
2014-03-05,4963.662,4037.784,1464.578,2163.976,1448.331
2014-03-06,4962.395,4032.756,1462.528,2173.634,1459.508
2014-03-07,4949.835,4012.447,1460.611,2168.358,1455.585
2014-03-10,4760.672,3860.244,1407.073,2097.787,1408.873
2014-03-11,4746.733,3864.26,1395.813,2108.661,1412.733
2014-03-12,4726.863,3865.662,1399.266,2114.134,1418.698
2014-03-13,4794.004,3907.146,1436.856,2140.333,1437.392
2014-03-14,4785.044,3888.975,1434.021,2122.836,1426.395
2014-03-17,4903.133,3967.15,1477.415,2143.038,1434.157
2014-03-18,4934.419,3989.201,1485.64,2138.133,1427.63
2014-03-19,4937.728,3980.673,1466.217,2120.87,1418.707
2014-03-20,4798.398,3876.578,1417.658,2086.967,1406.915
2014-03-21,4870.013,3952.392,1419.84,2158.798,1464.08
2014-03-24,4876.471,3985.861,1397.294,2176.554,1477.532
2014-03-25,4876.289,3991.144,1394.824,2174.44,1470.121
2014-03-26,4903.916,4001.502,1417.614,2171.047,1467.08
2014-03-27,4804.207,3944.044,1367.964,2155.707,1464.53
2014-03-28,4671.788,3865.295,1330.5,2151.965,1472.047
2014-03-31,4633.27,3840.536,1327.8,2146.305,1465.783
2014-04-01,4714.948,3899.488,1355.051,2163.115,1473.142
2014-04-02,4683.783,3902.043,1327.983,2180.727,1491.303
2014-04-03,4686.952,3896.28,1326.1764,2165.008,1477.488
2014-04-04,4743.682,3939.229,1346.738,2185.472,1490.334
2014-04-08,4774.531,3981.625,1351.183,2237.316,1534.747
2014-04-09,4830.536,4018.547,1370.462,2238.62,1530.875
2014-04-10,4849.657,4038.84,1381.142,2273.761,1570.397
2014-04-11,4822.712,4021.194,1363.899,2270.666,1565.308
2014-04-14,4858.157,4051.33,1372.728,2268.613,1557.7
2014-04-15,4838.652,4021.906,1369.889,2229.463,1523.22
2014-04-16,4847.637,4019.883,1359.304,2232.526,1527.054
2014-04-17,4847.682,4014.94,1367.591,2224.803,1520.562
2014-04-18,4870.309,4029.262,1377.419,2224.479,1521.278
2014-04-21,4794.877,3965.337,1363.851,2187.248,1493.756
2014-04-22,4748.012,3947.169,1336.187,2196.795,1509.547
2014-04-23,4730.826,3929.168,1326.438,2194.668,1507.041
2014-04-24,4682.827,3884.811,1319.505,2190.474,1510.285
2014-04-25,4582.632,3800.681,1291.903,2167.826,1501.046
2014-04-28,4424.411,3684.593,1257.263,2134.969,1483.776
2014-04-29,4479.259,3738.926,1266.543,2158.47,1496.009
2014-04-30,4525.306,3766.17,1283.209,2158.659,1494.808
2014-05-05,4577.407,3798.288,1302.146,2156.47,1487.532
2014-05-06,4612.149,3817.98,1316.858,2157.328,1485.25
2014-05-07,4533.014,3749.965,1290.025,2137.316,1476.176
2014-05-08,4532.264,3754.011,1279.837,2135.496,1478.717
2014-05-09,4481.835,3716.022,1258.584,2133.911,1480.737
2014-05-12,4576.422,3812.758,1278.282,2180.054,1508.387
2014-05-13,4574.804,3806.89,1276.244,2174.852,1503.517
2014-05-14,4577.681,3803.803,1278.661,2172.372,1500.825
2014-05-15,4491.752,3732.337,1253.879,2144.084,1488.771
2014-05-16,4472.169,3726.656,1226.473,2145.952,1487.735
2014-05-19,4458.379,3705.364,1228.371,2115.143,1459.212
2014-05-20,4480.028,3715.71,1244.647,2115.771,1460.82
2014-05-21,4518.657,3747.334,1257.796,2135.905,1474.139
2014-05-22,4527.598,3746.14,1269.513,2130.868,1471.552
2014-05-23,4582.458,3786.563,1295.998,2148.414,1484.375
2014-05-26,4645.004,3827.487,1320.759,2155.976,1486.049
2014-05-27,4624.34,3818.322,1306.284,2147.28,1479.733
2014-05-28,4690.619,3861.588,1338.971,2169.352,1491.756
2014-05-29,4635.007,3821.867,1314.212,2155.164,1484.307
2014-05-30,4648.233,3829.238,1318.127,2156.464,1482.096
2014-06-03,4640.242,3822.716,1319.625,2149.918,1477.522
2014-06-04,4610.724,3789.294,1321.718,2128.274,1466.387
2014-06-05,4671.333,3832.055,1355.482,2150.602,1484.241
2014-06-06,4662.311,3818.333,1350.447,2134.716,1472.268
2014-06-09,4627.427,3797.429,1326.675,2134.281,1475.347
2014-06-10,4686.087,3840.019,1353.871,2161.268,1493.533
2014-06-11,4717.942,3858.051,1367.388,2160.766,1488.764
2014-06-12,4712.043,3850.113,1363.739,2153.41,1483.861
2014-06-13,4766.518,3891.557,1382.733,2176.242,1502.961
2014-06-16,4800.599,3914.981,1395.611,2191.855,1518.705
2014-06-17,4757.484,3879.344,1377.431,2169.674,1501.939
2014-06-18,4721.703,3858.099,1363.991,2160.239,1495.431
2014-06-19,4581.907,3755.694,1320.655,2126.907,1478.038
2014-06-20,4635.064,3789.342,1333.982,2136.729,1484.479
2014-06-23,4697.417,3815.879,1361.283,2134.11,1475.76
2014-06-24,4733.756,3839.203,1369.439,2144.821,1480.128
2014-06-25,4715.848,3814.03,1358.708,2133.371,1469.954
2014-06-26,4793.361,3861.95,1386.273,2149.076,1478.006
2014-06-27,4829.479,3889.323,1388.815,2150.258,1473.756
2014-06-30,4884.397,3924.903,1404.71,2165.118,1482.405
2014-07-01,4915.74,3951.726,1411.736,2164.559,1481.663
2014-07-02,4945.531,3979.31,1419.937,2170.867,1484.841
2014-07-03,4980.715,4019.647,1422.603,2180.192,1489.545
2014-07-04,4977.585,4004.561,1411.638,2178.695,1492.463
